Count,Time,ResponseCode,Duration,Mem,Cpu
471,1419925157651,200,180,521097216,4
1744,1419926088494,200,180,524611584,3
923,1419925504117,200,179,525328384,7
1205,1419925720179,200,179,524455936,7
1882,1419926199840,200,179,524083200,6
914,1419925498247,200,179,525221888,5
1472,1419925902422,200,179,525160448,4
1130,1419925660587,200,179,524656640,3
1701,1419926059039,200,178,524611584,7
62,1419924843681,200,178,521371648,5
528,1419925202942,200,178,521105408,5
621,1419925273591,200,178,520765440,4
727,1419925364510,200,178,520695808,3
1320,1419925798515,200,178,524128256,3
1925,1419926229514,200,178,523771904,3
453,1419925145670,200,177,521113600,5
171,1419924924628,200,177,522485760,4
1516,1419925934496,200,177,524976128,4
1369,1419925833327,200,176,525479936,9
1605,1419925995094,200,176,524853248,8
383,1419925096222,200,176,521269248,5
1375,1419925837641,200,176,525463552,4
438,1419925135761,200,175,521400320,6
1310,1419925792367,200,175,524128256,5
597,1419925253428,200,175,521007104,4
1920,1419926226138,200,173,523722752,8
1001,1419925560805,200,173,525328384,7
361,1419925080466,200,173,521490432,4
919,1419925501541,200,173,525348864,4
1825,1419926147484,200,173,524161024,3
1949,1419926250241,200,172,523931648,7
496,1419925180528,200,172,521003008,5
459,1419925149427,200,172,520978432,4
1028,1419925580500,200,172,525070336,4
166,1419924921537,200,172,522645504,3
999,1419925559498,200,172,525328384,3
1286,1419925775458,200,172,524128256,3
1518,1419925935903,200,171,524976128,8
31,1419924821912,200,171,518864896,5
808,1419925418650,200,171,522182656,5
1513,1419925932672,200,171,524984320,5
1897,1419926210475,200,171,523956224,5
1354,1419925822476,200,171,525688832,3
1572,1419925974547,200,171,524865536,3
1090,1419925631824,200,170,524505088,12
1707,1419926062768,200,170,524611584,7
1940,1419926244258,200,170,523931648,7
1844,1419926161637,200,170,524161024,5
1890,1419926205453,200,170,524083200,5
1177,1419925699436,200,170,524455936,3
793,1419925407734,200,169,522055680,7
472,1419925158337,200,169,521097216,4
210,1419924957583,200,169,522358784,3
847,1419925446396,200,169,522039296,3
26,1419924817493,200,169,518864896,2
35,1419924824850,200,168,518864896,6
906,1419925492641,200,168,522043392,5
1113,1419925648696,200,168,524656640,5
234,1419924975524,200,168,522248192,3
1101,1419925639233,200,167,524656640,6
1669,1419926037302,200,167,524779520,6
547,1419925218925,200,167,521007104,5
1219,1419925730301,200,167,524455936,5
593,1419925250256,200,167,521007104,4
493,1419925178607,200,167,521003008,3
1551,1419925959296,200,166,525008896,11
412,1419925116005,200,166,521396224,6
70,1419924849697,200,166,521138176,5
672,1419925311435,200,166,520802304,4
374,1419925089525,200,166,521117696,3
913,1419925497570,200,166,525221888,3
930,1419925509567,200,166,525238272,3
1269,1419925763393,200,165,524128256,10
785,1419925402214,200,165,522260480,7
1755,1419926096773,200,165,524611584,6
463,1419925152662,200,165,521129984,5
1580,1419925979564,200,165,524914688,4
456,1419925147554,200,165,520986624,3
1363,1419925829032,200,164,525426688,8
105,1419924872685,200,164,521314304,7
1059,1419925609074,200,164,525000704,7
1430,1419925873769,200,164,525402112,7
1530,1419925944243,200,164,525008896,7
555,1419925224252,200,164,520880128,6
1791,1419926122203,200,164,524161024,6
1349,1419925818682,200,164,525688832,4
1091,1419925632509,200,164,524529664,3
