Duration,Mem,Cpu
32,714735616,5
32,714473472,5
32,714342400,5
32,714448896,5
32,713711616,5
32,713736192,5
32,713371648,5
32,713633792,5
31,713822208,5
31,713162752,5
31,712503296,5
31,716369920,5
31,715612160,5
31,715366400,5
31,714350592,5
31,714088448,5
31,714342400,5
31,714346496,5
31,714223616,5
31,713728000,5
31,713863168,5
31,713478144,5
31,713121792,5
31,713244672,5
31,713887744,5
31,713256960,5
31,713396224,5
31,712892416,5
30,713293824,5
30,716603392,5
30,716103680,5
30,715239424,5
30,715239424,5
30,714727424,5
30,714735616,5
30,713736192,5
30,713113600,5
30,713510912,5
30,713367552,5
29,714981376,5
29,714076160,5
29,712245248,5
29,716230656,5
29,715366400,5
29,715112448,5
29,714735616,5
29,714473472,5
29,714350592,5
29,714190848,5
29,714223616,5
29,714350592,5
29,713129984,5
29,713396224,5
29,712892416,5
28,713822208,5
28,711340032,5
28,716357632,5
28,716361728,5
28,716099584,5
28,715358208,5
28,714342400,5
28,714223616,5
28,713736192,5
28,713498624,5
28,713003008,5
27,713568256,5
27,715988992,5
27,715362304,5
27,715239424,5
27,715239424,5
27,713359360,5
26,714727424,5
26,714854400,5
26,713568256,5
26,713162752,5
26,713416704,5
26,716374016,5
26,716488704,5
26,714727424,5
26,714469376,5
26,714469376,5
26,714350592,5
26,713854976,5
26,713478144,5
26,713478144,5
26,713510912,5
25,713891840,5
25,713416704,5
25,716357632,5
25,715489280,5
25,715489280,5
25,715239424,5
25,714342400,5
25,713342976,5
24,713891840,5
24,714727424,5
23,713695232,5
23,713764864,5
23,712368128,5
23,713371648,5
22,715235328,5
21,713822208,5
20,713695232,5
19,714600448,5
193,716115968,4
193,712863744,4
192,715239424,4
189,716603392,4
184,713015296,4
181,714735616,4
178,713379840,4
176,715489280,4
175,713232384,4
169,713981952,4
168,713498624,4
166,714223616,4
164,713232384,4
161,715112448,4
160,713359360,4
158,715489280,4
157,716595200,4
156,716603392,4
145,713506816,4
140,715739136,4
139,715735040,4
139,714477568,4
136,711237632,4
136,713478144,4
134,714735616,4
132,714575872,4
132,713007104,4
131,714096640,4
128,713396224,4
125,714985472,4
124,714096640,4
123,714600448,4
117,715108352,4
116,713162752,4
116,712863744,4
114,711237632,4
113,715612160,4
113,713117696,4
111,714727424,4
109,715358208,4
105,714862592,4
105,714096640,4
105,713863168,4
104,714723328,4
103,713498624,4
101,715476992,4
99,713224192,4
99,713117696,4
99,713388032,4
98,713244672,4
96,715108352,4
95,715366400,4
94,716603392,4
94,715616256,4
94,714862592,4
94,713605120,4
94,713396224,4
93,713416704,4
93,716242944,4
93,714354688,4
93,713256960,4
90,712253440,4
90,715362304,4
90,713863168,4
89,713416704,4
89,713232384,4
88,714096640,4
88,712863744,4
87,712253440,4
87,713986048,4
86,714215424,4
86,712863744,4
86,713760768,4
86,713256960,4
85,713256960,4
84,713416704,4
84,713244672,4
84,713633792,4
83,715735040,4
82,714059776,4
82,713146368,4
81,714735616,4
81,714600448,4
81,713224192,4
79,714735616,4
79,714600448,4
78,714481664,4
78,713863168,4
78,713121792,4
77,713900032,4
77,713736192,4
77,713351168,4
77,713269248,4
76,714215424,4
74,715231232,4
74,713117696,4
73,715866112,4
73,714604544,4
73,714342400,4
73,714223616,4
73,714223616,4
72,714076160,4
72,714575872,4
72,714481664,4
72,713244672,4
71,715608064,4
71,714215424,4
71,714350592,4
70,715358208,4
70,715362304,4
70,715362304,4
70,715239424,4
70,714596352,4
70,713117696,4
70,712863744,4
70,713383936,4
70,713015296,4
69,714731520,4
69,713244672,4
69,713256960,4
69,713388032,4
68,713416704,4
68,716103680,4
68,715362304,4
68,715489280,4
68,714600448,4
68,713326592,4
68,712863744,4
68,713134080,4
68,713760768,4
67,715612160,4
66,715485184,4
66,714862592,4
66,714600448,4
66,714600448,4
66,713359360,4
66,713486336,4
65,712884224,4
65,716603392,4
65,716361728,4
65,714211328,4
65,713977856,4
65,713609216,4
65,713478144,4
65,713117696,4
65,713523200,4
64,713478144,4
64,713351168,4
64,713498624,4
64,712863744,4
64,713760768,4
64,713396224,4
63,711118848,4
63,715112448,4
63,713486336,4
63,713383936,4
